"Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes"
"Unidade da Federação";"Ano";"Produto das lavouras temporárias e permanentes";"Variável"
"Unidade da Federação";"Ano";"Produto das lavouras temporárias e permanentes";"Quantidade produzida (Toneladas)";"Valor da produção (Mil Reais)"
"Rio de Janeiro";"2006";"Melão";"247";"247"
"Rio de Janeiro";"2006";"Milho (em grão)";"25786";"9462"
"Rio de Janeiro";"2006";"Noz (fruto seco)";"-";"-"
"Rio de Janeiro";"2006";"Palmito";"420";"2463"
"Rio de Janeiro";"2006";"Pera";"-";"-"
"Rio de Janeiro";"2006";"Pêssego";"39";"20"
"Rio de Janeiro";"2006";"Pimenta-do-reino";"-";"-"
"Rio de Janeiro";"2006";"Rami (fibra)";"-";"-"
"Rio de Janeiro";"2006";"Sisal ou agave (fibra)";"-";"-"
"Rio de Janeiro";"2006";"Soja (em grão)";"-";"-"
"Rio de Janeiro";"2006";"Sorgo (em grão)";"-";"-"
"Rio de Janeiro";"2006";"Tangerina";"41121";"15048"
"Rio de Janeiro";"2006";"Tomate";"212631";"133502"
"Rio de Janeiro";"2006";"Trigo (em grão)";"-";"-"
"Rio de Janeiro";"2006";"Triticale (em grão)";"-";"-"
"Rio de Janeiro";"2006";"Tungue (fruto seco)";"-";"-"
"Rio de Janeiro";"2006";"Urucum (semente)";"209";"401"
"Rio de Janeiro";"2006";"Uva";"-";"-"
"Rio de Janeiro";"2007";"Abacate";"675";"258"
"Rio de Janeiro";"2007";"Abacaxi*";"42922";"18893"
"Rio de Janeiro";"2007";"Açaí";"...";"..."
"Rio de Janeiro";"2007";"Alfafa fenada";"...";"..."
"Rio de Janeiro";"2007";"Algodão arbóreo (em caroço)";"-";"-"
"Rio de Janeiro";"2007";"Algodão herbáceo (em caroço)";"-";"-"
"Rio de Janeiro";"2007";"Alho";"-";"-"
"Rio de Janeiro";"2007";"Amendoim (em casca)";"-";"-"
"Rio de Janeiro";"2007";"Arroz (em casca)";"7644";"4057"
"Rio de Janeiro";"2007";"Aveia (em grão)";"-";"-"
"Rio de Janeiro";"2007";"Azeitona";"-";"-"
"Rio de Janeiro";"2007";"Banana (cacho)";"159213";"69864"
"Rio de Janeiro";"2007";"Batata-doce";"19048";"6277"
"Rio de Janeiro";"2007";"Batata-inglesa";"1180";"444"
"Rio de Janeiro";"2007";"Borracha (látex coagulado)";"76";"185"
"Rio de Janeiro";"2007";"Borracha (látex líquido)";"...";"..."
"Rio de Janeiro";"2007";"Cacau (em amêndoa)";"-";"-"
"Rio de Janeiro";"2007";"Café (em grão) Total";"15734";"51160"
"Rio de Janeiro";"2007";"Café (em grão) Arábica";"...";"..."
"Rio de Janeiro";"2007";"Café (em grão) Canephora";"...";"..."
"Rio de Janeiro";"2007";"Caju";"...";"..."
"Rio de Janeiro";"2007";"Cana-de-açúcar";"5965446";"171210"
"Rio de Janeiro";"2007";"Cana para forragem";"...";"..."
"Rio de Janeiro";"2007";"Caqui";"19022";"9288"
"Rio de Janeiro";"2007";"Castanha de caju";"-";"-"
"Rio de Janeiro";"2007";"Cebola";"-";"-"
"Rio de Janeiro";"2007";"Centeio (em grão)";"-";"-"
"Rio de Janeiro";"2007";"Cevada (em grão)";"-";"-"
"Rio de Janeiro";"2007";"Chá-da-índia (folha verde)";"-";"-"
"Rio de Janeiro";"2007";"Coco-da-baía*";"77947";"30669"
"Rio de Janeiro";"2007";"Dendê (cacho de coco)";"-";"-"
"Rio de Janeiro";"2007";"Erva-mate (folha verde)";"-";"-"
"Rio de Janeiro";"2007";"Ervilha (em grão)";"-";"-"
"Rio de Janeiro";"2007";"Fava (em grão)";"-";"-"
"Rio de Janeiro";"2007";"Feijão (em grão)";"5560";"7450"
"Rio de Janeiro";"2007";"Figo";"32";"44"
"Rio de Janeiro";"2007";"Fumo (em folha)";"-";"-"
"Rio de Janeiro";"2007";"Girassol (em grão)";"-";"-"
"Rio de Janeiro";"2007";"Goiaba";"11995";"5982"
"Rio de Janeiro";"2007";"Guaraná (semente)";"-";"-"
"Rio de Janeiro";"2007";"Juta (fibra)";"-";"-"
"Rio de Janeiro";"2007";"Laranja";"56336";"29046"
"Rio de Janeiro";"2007";"Limão";"23750";"9728"
"Rio de Janeiro";"2007";"Linho (semente)";"-";"-"
"Rio de Janeiro";"2007";"Maçã";"-";"-"
"Rio de Janeiro";"2007";"Malva (fibra)";"-";"-"
"Rio de Janeiro";"2007";"Mamão";"510";"268"
"Rio de Janeiro";"2007";"Mamona (baga)";"-";"-"
"Rio de Janeiro";"2007";"Mandioca";"131533";"54015"
"Rio de Janeiro";"2007";"Manga";"4899";"1915"
"Rio de Janeiro";"2007";"Maracujá";"11812";"6510"
"Rio de Janeiro";"2007";"Marmelo";"-";"-"
"Rio de Janeiro";"2007";"Melancia";"1880";"408"
"Rio de Janeiro";"2007";"Melão";"265";"143"
"Rio de Janeiro";"2007";"Milho (em grão)";"22631";"9299"
"Rio de Janeiro";"2007";"Noz (fruto seco)";"-";"-"
"Rio de Janeiro";"2007";"Palmito";"298";"1508"
"Rio de Janeiro";"2007";"Pera";"-";"-"
"Rio de Janeiro";"2007";"Pêssego";"39";"20"
"Rio de Janeiro";"2007";"Pimenta-do-reino";"-";"-"
"Rio de Janeiro";"2007";"Rami (fibra)";"-";"-"
"Rio de Janeiro";"2007";"Sisal ou agave (fibra)";"-";"-"
"Rio de Janeiro";"2007";"Soja (em grão)";"-";"-"
"Rio de Janeiro";"2007";"Sorgo (em grão)";"-";"-"
"Rio de Janeiro";"2007";"Tangerina";"35746";"15312"
"Rio de Janeiro";"2007";"Tomate";"196824";"115124"
"Rio de Janeiro";"2007";"Trigo (em grão)";"-";"-"
"Rio de Janeiro";"2007";"Triticale (em grão)";"-";"-"
"Rio de Janeiro";"2007";"Tungue (fruto seco)";"-";"-"
"Rio de Janeiro";"2007";"Urucum (semente)";"240";"48"
"Rio de Janeiro";"2007";"Uva";"40";"40"
"Rio de Janeiro";"2008";"Abacate";"626";"491"
"Rio de Janeiro";"2008";"Abacaxi*";"66294";"26789"
"Rio de Janeiro";"2008";"Açaí";"...";"..."
"Rio de Janeiro";"2008";"Alfafa fenada";"...";"..."
"Rio de Janeiro";"2008";"Algodão arbóreo (em caroço)";"-";"-"
"Rio de Janeiro";"2008";"Algodão herbáceo (em caroço)";"-";"-"
"Rio de Janeiro";"2008";"Alho";"-";"-"
"Rio de Janeiro";"2008";"Amendoim (em casca)";"-";"-"
"Rio de Janeiro";"2008";"Arroz (em casca)";"8088";"5957"
"Rio de Janeiro";"2008";"Aveia (em grão)";"-";"-"
"Rio de Janeiro";"2008";"Azeitona";"-";"-"
"Rio de Janeiro";"2008";"Banana (cacho)";"159427";"72087"
"Rio de Janeiro";"2008";"Batata-doce";"18918";"6124"
"Rio de Janeiro";"2008";"Batata-inglesa";"980";"384"
"Rio de Janeiro";"2008";"Borracha (látex coagulado)";"76";"185"
"Rio de Janeiro";"2008";"Borracha (látex líquido)";"...";"..."
"Rio de Janeiro";"2008";"Cacau (em amêndoa)";"-";"-"
"Rio de Janeiro";"2008";"Café (em grão) Total";"15982";"50342"
"Rio de Janeiro";"2008";"Café (em grão) Arábica";"...";"..."
"Rio de Janeiro";"2008";"Café (em grão) Canephora";"...";"..."
"Rio de Janeiro";"2008";"Caju";"...";"..."
"Rio de Janeiro";"2008";"Cana-de-açúcar";"6582623";"135607"
"Rio de Janeiro";"2008";"Cana para forragem";"...";"..."
"Rio de Janeiro";"2008";"Caqui";"19028";"7401"
"Rio de Janeiro";"2008";"Castanha de caju";"-";"-"
"Rio de Janeiro";"2008";"Cebola";"-";"-"
"Rio de Janeiro";"2008";"Centeio (em grão)";"-";"-"
"Rio de Janeiro";"2008";"Cevada (em grão)";"-";"-"
"Rio de Janeiro";"2008";"Chá-da-índia (folha verde)";"-";"-"
"Rio de Janeiro";"2008";"Coco-da-baía*";"81093";"32484"
"Rio de Janeiro";"2008";"Dendê (cacho de coco)";"-";"-"
"Rio de Janeiro";"2008";"Erva-mate (folha verde)";"-";"-"
"Rio de Janeiro";"2008";"Ervilha (em grão)";"-";"-"
"Rio de Janeiro";"2008";"Fava (em grão)";"-";"-"
"Rio de Janeiro";"2008";"Feijão (em grão)";"4977";"9450"
"Rio de Janeiro";"2008";"Figo";"32";"37"
"Rio de Janeiro";"2008";"Fumo (em folha)";"-";"-"
"Rio de Janeiro";"2008";"Girassol (em grão)";"-";"-"
"Rio de Janeiro";"2008";"Goiaba";"11946";"5785"
"Rio de Janeiro";"2008";"Guaraná (semente)";"-";"-"
"Rio de Janeiro";"2008";"Juta (fibra)";"-";"-"
"Rio de Janeiro";"2008";"Laranja";"57484";"31601"
"Rio de Janeiro";"2008";"Limão";"21297";"9749"
"Rio de Janeiro";"2008";"Linho (semente)";"-";"-"
"Rio de Janeiro";"2008";"Maçã";"-";"-"
"Rio de Janeiro";"2008";"Malva (fibra)";"-";"-"
"Rio de Janeiro";"2008";"Mamão";"510";"268"
"Rio de Janeiro";"2008";"Mamona (baga)";"-";"-"
"Rio de Janeiro";"2008";"Mandioca";"128827";"56722"
"Rio de Janeiro";"2008";"Manga";"4742";"2140"
"Rio de Janeiro";"2008";"Maracujá";"11698";"6749"
"Rio de Janeiro";"2008";"Marmelo";"-";"-"
"Rio de Janeiro";"2008";"Melancia";"1310";"284"
"Rio de Janeiro";"2008";"Melão";"180";"72"
"Rio de Janeiro";"2008";"Milho (em grão)";"19734";"9877"
"Rio de Janeiro";"2008";"Noz (fruto seco)";"-";"-"
"Rio de Janeiro";"2008";"Palmito";"328";"1643"
"Rio de Janeiro";"2008";"Pera";"-";"-"
"Rio de Janeiro";"2008";"Pêssego";"74";"36"
"Rio de Janeiro";"2008";"Pimenta-do-reino";"-";"-"
"Rio de Janeiro";"2008";"Rami (fibra)";"-";"-"
"Rio de Janeiro";"2008";"Sisal ou agave (fibra)";"-";"-"
"Rio de Janeiro";"2008";"Soja (em grão)";"-";"-"
"Rio de Janeiro";"2008";"Sorgo (em grão)";"-";"-"
"Rio de Janeiro";"2008";"Tangerina";"36603";"17405"
"Rio de Janeiro";"2008";"Tomate";"208185";"211117"
"Rio de Janeiro";"2008";"Trigo (em grão)";"-";"-"
"Rio de Janeiro";"2008";"Triticale (em grão)";"-";"-"
"Rio de Janeiro";"2008";"Tungue (fruto seco)";"-";"-"
"Rio de Janeiro";"2008";"Urucum (semente)";"240";"360"
"Rio de Janeiro";"2008";"Uva";"50";"55"
"Rio de Janeiro";"2009";"Abacate";"626";"420"
"Rio de Janeiro";"2009";"Abacaxi*";"67257";"26036"
"Rio de Janeiro";"2009";"Açaí";"...";"..."
"Rio de Janeiro";"2009";"Alfafa fenada";"...";"..."
"Rio de Janeiro";"2009";"Algodão arbóreo (em caroço)";"-";"-"
"Rio de Janeiro";"2009";"Algodão herbáceo (em caroço)";"-";"-"
"Rio de Janeiro";"2009";"Alho";"-";"-"
"Rio de Janeiro";"2009";"Amendoim (em casca)";"-";"-"
"Rio de Janeiro";"2009";"Arroz (em casca)";"7950";"4421"
"Rio de Janeiro";"2009";"Aveia (em grão)";"-";"-"
"Rio de Janeiro";"2009";"Azeitona";"-";"-"
"Rio de Janeiro";"2009";"Banana (cacho)";"155216";"70263"
"Rio de Janeiro";"2009";"Batata-doce";"16127";"5107"
"Rio de Janeiro";"2009";"Batata-inglesa";"940";"412"
"Rio de Janeiro";"2009";"Borracha (látex coagulado)";"104";"155"
"Rio de Janeiro";"2009";"Borracha (látex líquido)";"...";"..."
"Rio de Janeiro";"2009";"Cacau (em amêndoa)";"-";"-"
"Rio de Janeiro";"2009";"Café (em grão) Total";"15893";"47303"
"Rio de Janeiro";"2009";"Café (em grão) Arábica";"...";"..."
"Rio de Janeiro";"2009";"Café (em grão) Canephora";"...";"..."
"Rio de Janeiro";"2009";"Caju";"...";"..."
"Rio de Janeiro";"2009";"Cana-de-açúcar";"6481715";"274876"
"Rio de Janeiro";"2009";"Cana para forragem";"...";"..."
"Rio de Janeiro";"2009";"Caqui";"19074";"7679"
"Rio de Janeiro";"2009";"Castanha de caju";"-";"-"
"Rio de Janeiro";"2009";"Cebola";"-";"-"
"Rio de Janeiro";"2009";"Centeio (em grão)";"-";"-"
"Rio de Janeiro";"2009";"Cevada (em grão)";"-";"-"
"Rio de Janeiro";"2009";"Chá-da-índia (folha verde)";"-";"-"
"Rio de Janeiro";"2009";"Coco-da-baía*";"78419";"33658"
"Rio de Janeiro";"2009";"Dendê (cacho de coco)";"-";"-"
"Rio de Janeiro";"2009";"Erva-mate (folha verde)";"-";"-"
"Rio de Janeiro";"2009";"Ervilha (em grão)";"-";"-"
"Rio de Janeiro";"2009";"Fava (em grão)";"-";"-"
"Rio de Janeiro";"2009";"Feijão (em grão)";"4853";"10596"
"Rio de Janeiro";"2009";"Figo";"32";"59"
"Rio de Janeiro";"2009";"Fumo (em folha)";"-";"-"
"Rio de Janeiro";"2009";"Girassol (em grão)";"-";"-"
"Rio de Janeiro";"2009";"Goiaba";"12993";"5970"
"Rio de Janeiro";"2009";"Guaraná (semente)";"-";"-"
"Rio de Janeiro";"2009";"Juta (fibra)";"-";"-"
"Rio de Janeiro";"2009";"Laranja";"59392";"31022"
"Rio de Janeiro";"2009";"Limão";"20622";"10598"
"Rio de Janeiro";"2009";"Linho (semente)";"-";"-"
"Rio de Janeiro";"2009";"Maçã";"-";"-"
"Rio de Janeiro";"2009";"Malva (fibra)";"-";"-"
"Rio de Janeiro";"2009";"Mamão";"510";"268"
"Rio de Janeiro";"2009";"Mamona (baga)";"-";"-"
"Rio de Janeiro";"2009";"Mandioca";"130564";"58088"
"Rio de Janeiro";"2009";"Manga";"4942";"2595"
"Rio de Janeiro";"2009";"Maracujá";"10588";"6520"
"Rio de Janeiro";"2009";"Marmelo";"-";"-"
"Rio de Janeiro";"2009";"Melancia";"1310";"284"
"Rio de Janeiro";"2009";"Melão";"180";"102"
"Rio de Janeiro";"2009";"Milho (em grão)";"19023";"8236"
"Rio de Janeiro";"2009";"Noz (fruto seco)";"-";"-"
"Rio de Janeiro";"2009";"Palmito";"368";"2154"
"Rio de Janeiro";"2009";"Pera";"-";"-"
"Rio de Janeiro";"2009";"Pêssego";"109";"223"
"Rio de Janeiro";"2009";"Pimenta-do-reino";"-";"-"
"Rio de Janeiro";"2009";"Rami (fibra)";"-";"-"
"Rio de Janeiro";"2009";"Sisal ou agave (fibra)";"-";"-"
"Rio de Janeiro";"2009";"Soja (em grão)";"-";"-"
"Rio de Janeiro";"2009";"Sorgo (em grão)";"-";"-"
"Rio de Janeiro";"2009";"Tangerina";"36646";"14971"
"Rio de Janeiro";"2009";"Tomate";"216297";"199536"
"Rio de Janeiro";"2009";"Trigo (em grão)";"-";"-"
"Rio de Janeiro";"2009";"Triticale (em grão)";"-";"-"
"Rio de Janeiro";"2009";"Tungue (fruto seco)";"-";"-"
"Rio de Janeiro";"2009";"Urucum (semente)";"240";"144"
"Rio de Janeiro";"2009";"Uva";"50";"55"
"Rio de Janeiro";"2010";"Abacate";"626";"366"
"Rio de Janeiro";"2010";"Abacaxi*";"64442";"40107"
"Rio de Janeiro";"2010";"Açaí";"...";"..."
"Rio de Janeiro";"2010";"Alfafa fenada";"...";"..."
"Rio de Janeiro";"2010";"Algodão arbóreo (em caroço)";"-";"-"
"Rio de Janeiro";"2010";"Algodão herbáceo (em caroço)";"-";"-"
"Rio de Janeiro";"2010";"Alho";"-";"-"
"Rio de Janeiro";"2010";"Amendoim (em casca)";"-";"-"
"Rio de Janeiro";"2010";"Arroz (em casca)";"7911";"5514"
"Rio de Janeiro";"2010";"Aveia (em grão)";"-";"-"
"Rio de Janeiro";"2010";"Azeitona";"-";"-"
"Rio de Janeiro";"2010";"Banana (cacho)";"152486";"73501"
"Rio de Janeiro";"2010";"Batata-doce";"16094";"5042"
"Rio de Janeiro";"2010";"Batata-inglesa";"940";"405"
"Rio de Janeiro";"2010";"Borracha (látex coagulado)";"112";"171"
"Rio de Janeiro";"2010";"Borracha (látex líquido)";"...";"..."
"Rio de Janeiro";"2010";"Cacau (em amêndoa)";"-";"-"
"Rio de Janeiro";"2010";"Café (em grão) Total";"15012";"53021"
"Rio de Janeiro";"2010";"Café (em grão) Arábica";"...";"..."
"Rio de Janeiro";"2010";"Café (em grão) Canephora";"...";"..."
"Rio de Janeiro";"2010";"Caju";"...";"..."
"Rio de Janeiro";"2010";"Cana-de-açúcar";"6394477";"210872"
"Rio de Janeiro";"2010";"Cana para forragem";"...";"..."
"Rio de Janeiro";"2010";"Caqui";"19064";"9246"
"Rio de Janeiro";"2010";"Castanha de caju";"-";"-"
"Rio de Janeiro";"2010";"Cebola";"-";"-"
"Rio de Janeiro";"2010";"Centeio (em grão)";"-";"-"
"Rio de Janeiro";"2010";"Cevada (em grão)";"-";"-"
"Rio de Janeiro";"2010";"Chá-da-índia (folha verde)";"-";"-"
"Rio de Janeiro";"2010";"Coco-da-baía*";"74077";"38344"
"Rio de Janeiro";"2010";"Dendê (cacho de coco)";"-";"-"
"Rio de Janeiro";"2010";"Erva-mate (folha verde)";"-";"-"
"Rio de Janeiro";"2010";"Ervilha (em grão)";"-";"-"
"Rio de Janeiro";"2010";"Fava (em grão)";"-";"-"
"Rio de Janeiro";"2010";"Feijão (em grão)";"4442";"7663"
"Rio de Janeiro";"2010";"Figo";"32";"69"
"Rio de Janeiro";"2010";"Fumo (em folha)";"-";"-"
"Rio de Janeiro";"2010";"Girassol (em grão)";"-";"-"
"Rio de Janeiro";"2010";"Goiaba";"13059";"6230"
"Rio de Janeiro";"2010";"Guaraná (semente)";"-";"-"
"Rio de Janeiro";"2010";"Juta (fibra)";"-";"-"
"Rio de Janeiro";"2010";"Laranja";"59386";"36879"
"Rio de Janeiro";"2010";"Limão";"20408";"11979"
"Rio de Janeiro";"2010";"Linho (semente)";"-";"-"
"Rio de Janeiro";"2010";"Maçã";"-";"-"
"Rio de Janeiro";"2010";"Malva (fibra)";"-";"-"
"Rio de Janeiro";"2010";"Mamão";"510";"267"
"Rio de Janeiro";"2010";"Mamona (baga)";"-";"-"
"Rio de Janeiro";"2010";"Mandioca";"206605";"69366"
"Rio de Janeiro";"2010";"Manga";"5106";"2528"
"Rio de Janeiro";"2010";"Maracujá";"13163";"8478"
"Rio de Janeiro";"2010";"Marmelo";"-";"-"
"Rio de Janeiro";"2010";"Melancia";"610";"271"
"Rio de Janeiro";"2010";"Melão";"160";"84"
"Rio de Janeiro";"2010";"Milho (em grão)";"17678";"8253"
"Rio de Janeiro";"2010";"Noz (fruto seco)";"-";"-"
"Rio de Janeiro";"2010";"Palmito";"386";"2238"
"Rio de Janeiro";"2010";"Pera";"-";"-"
"Rio de Janeiro";"2010";"Pêssego";"109";"264"
"Rio de Janeiro";"2010";"Pimenta-do-reino";"-";"-"
"Rio de Janeiro";"2010";"Rami (fibra)";"-";"-"
"Rio de Janeiro";"2010";"Sisal ou agave (fibra)";"-";"-"
"Rio de Janeiro";"2010";"Soja (em grão)";"-";"-"
"Rio de Janeiro";"2010";"Sorgo (em grão)";"-";"-"
"Rio de Janeiro";"2010";"Tangerina";"36874";"17414"
"Rio de Janeiro";"2010";"Tomate";"204905";"166546"
"Rio de Janeiro";"2010";"Trigo (em grão)";"-";"-"
"Rio de Janeiro";"2010";"Triticale (em grão)";"-";"-"
"Rio de Janeiro";"2010";"Tungue (fruto seco)";"-";"-"
"Rio de Janeiro";"2010";"Urucum (semente)";"70";"119"
"Rio de Janeiro";"2010";"Uva";"82";"240"
"Rio de Janeiro";"2011";"Abacate";"626";"367"
"Rio de Janeiro";"2011";"Abacaxi*";"109816";"93350"
"Rio de Janeiro";"2011";"Açaí";"...";"..."
"Rio de Janeiro";"2011";"Alfafa fenada";"...";"..."
"Rio de Janeiro";"2011";"Algodão arbóreo (em caroço)";"-";"-"
"Rio de Janeiro";"2011";"Algodão herbáceo (em caroço)";"-";"-"
"Rio de Janeiro";"2011";"Alho";"-";"-"
"Rio de Janeiro";"2011";"Amendoim (em casca)";"-";"-"
"Rio de Janeiro";"2011";"Arroz (em casca)";"6765";"3920"
"Rio de Janeiro";"2011";"Aveia (em grão)";"-";"-"
"Rio de Janeiro";"2011";"Azeitona";"-";"-"
"Rio de Janeiro";"2011";"Banana (cacho)";"152326";"75187"
"Rio de Janeiro";"2011";"Batata-doce";"16089";"5565"
"Rio de Janeiro";"2011";"Batata-inglesa";"902";"424"
"Rio de Janeiro";"2011";"Borracha (látex coagulado)";"140";"208"
"Rio de Janeiro";"2011";"Borracha (látex líquido)";"...";"..."
"Rio de Janeiro";"2011";"Cacau (em amêndoa)";"-";"-"
"Rio de Janeiro";"2011";"Café (em grão) Total";"15600";"81185"
"Rio de Janeiro";"2011";"Café (em grão) Arábica";"...";"..."
"Rio de Janeiro";"2011";"Café (em grão) Canephora";"...";"..."
"Rio de Janeiro";"2011";"Caju";"...";"..."
"Rio de Janeiro";"2011";"Cana-de-açúcar";"5137700";"195333"
"Rio de Janeiro";"2011";"Cana para forragem";"...";"..."
"Rio de Janeiro";"2011";"Caqui";"14986";"8485"
"Rio de Janeiro";"2011";"Castanha de caju";"-";"-"
"Rio de Janeiro";"2011";"Cebola";"-";"-"
"Rio de Janeiro";"2011";"Centeio (em grão)";"-";"-"
"Rio de Janeiro";"2011";"Cevada (em grão)";"-";"-"
"Rio de Janeiro";"2011";"Chá-da-índia (folha verde)";"-";"-"
"Rio de Janeiro";"2011";"Coco-da-baía*";"70069";"55434"
"Rio de Janeiro";"2011";"Dendê (cacho de coco)";"-";"-"
"Rio de Janeiro";"2011";"Erva-mate (folha verde)";"-";"-"
"Rio de Janeiro";"2011";"Ervilha (em grão)";"-";"-"
"Rio de Janeiro";"2011";"Fava (em grão)";"-";"-"
"Rio de Janeiro";"2011";"Feijão (em grão)";"3836";"6777"
"Rio de Janeiro";"2011";"Figo";"34";"102"
"Rio de Janeiro";"2011";"Fumo (em folha)";"-";"-"
"Rio de Janeiro";"2011";"Girassol (em grão)";"-";"-"
"Rio de Janeiro";"2011";"Goiaba";"12691";"5652"
"Rio de Janeiro";"2011";"Guaraná (semente)";"-";"-"
"Rio de Janeiro";"2011";"Juta (fibra)";"-";"-"
"Rio de Janeiro";"2011";"Laranja";"65032";"38729"
"Rio de Janeiro";"2011";"Limão";"20408";"11931"
"Rio de Janeiro";"2011";"Linho (semente)";"-";"-"
"Rio de Janeiro";"2011";"Maçã";"-";"-"
"Rio de Janeiro";"2011";"Malva (fibra)";"-";"-"
"Rio de Janeiro";"2011";"Mamão";"570";"294"
"Rio de Janeiro";"2011";"Mamona (baga)";"-";"-"
"Rio de Janeiro";"2011";"Mandioca";"229216";"110454"
"Rio de Janeiro";"2011";"Manga";"6373";"3399"
"Rio de Janeiro";"2011";"Maracujá";"12946";"9359"
"Rio de Janeiro";"2011";"Marmelo";"-";"-"
"Rio de Janeiro";"2011";"Melancia";"4300";"2800"
"Rio de Janeiro";"2011";"Melão";"130";"78"
"Rio de Janeiro";"2011";"Milho (em grão)";"18278";"9294"
"Rio de Janeiro";"2011";"Noz (fruto seco)";"-";"-"
"Rio de Janeiro";"2011";"Palmito";"912";"7925"
"Rio de Janeiro";"2011";"Pera";"-";"-"
"Rio de Janeiro";"2011";"Pêssego";"109";"200"
"Rio de Janeiro";"2011";"Pimenta-do-reino";"-";"-"
"Rio de Janeiro";"2011";"Rami (fibra)";"-";"-"
"Rio de Janeiro";"2011";"Sisal ou agave (fibra)";"-";"-"
"Rio de Janeiro";"2011";"Soja (em grão)";"-";"-"
"Rio de Janeiro";"2011";"Sorgo (em grão)";"-";"-"
"Rio de Janeiro";"2011";"Tangerina";"38574";"23455"
"Rio de Janeiro";"2011";"Tomate";"195535";"294872"
"Rio de Janeiro";"2011";"Trigo (em grão)";"-";"-"
"Rio de Janeiro";"2011";"Triticale (em grão)";"-";"-"
"Rio de Janeiro";"2011";"Tungue (fruto seco)";"-";"-"
"Rio de Janeiro";"2011";"Urucum (semente)";"96";"163"
"Rio de Janeiro";"2011";"Uva";"118";"498"
"Rio de Janeiro";"2012";"Abacate";"602";"556"
"Rio de Janeiro";"2012";"Abacaxi*";"133093";"143119"
"Rio de Janeiro";"2012";"Açaí";"...";"..."
"Rio de Janeiro";"2012";"Alfafa fenada";"...";"..."
"Rio de Janeiro";"2012";"Algodão arbóreo (em caroço)";"-";"-"
"Rio de Janeiro";"2012";"Algodão herbáceo (em caroço)";"-";"-"
"Rio de Janeiro";"2012";"Alho";"-";"-"
"Rio de Janeiro";"2012";"Amendoim (em casca)";"-";"-"
"Rio de Janeiro";"2012";"Arroz (em casca)";"5407";"3887"
"Rio de Janeiro";"2012";"Aveia (em grão)";"-";"-"
"Rio de Janeiro";"2012";"Azeitona";"-";"-"
"Rio de Janeiro";"2012";"Banana (cacho)";"153752";"86890"
"Rio de Janeiro";"2012";"Batata-doce";"16143";"5369"
"Rio de Janeiro";"2012";"Batata-inglesa";"944";"544"
"Rio de Janeiro";"2012";"Borracha (látex coagulado)";"192";"384"
"Rio de Janeiro";"2012";"Borracha (látex líquido)";"...";"..."
"Rio de Janeiro";"2012";"Cacau (em amêndoa)";"-";"-"
"Rio de Janeiro";"2012";"Café (em grão) Total";"15732";"75614"
"Rio de Janeiro";"2012";"Café (em grão) Arábica";"15732";"75614"
"Rio de Janeiro";"2012";"Café (em grão) Canephora";"-";"-"
"Rio de Janeiro";"2012";"Caju";"...";"..."
"Rio de Janeiro";"2012";"Cana-de-açúcar";"5692869";"270072"
"Rio de Janeiro";"2012";"Cana para forragem";"...";"..."
"Rio de Janeiro";"2012";"Caqui";"14802";"9516"
"Rio de Janeiro";"2012";"Castanha de caju";"-";"-"
"Rio de Janeiro";"2012";"Cebola";"-";"-"
"Rio de Janeiro";"2012";"Centeio (em grão)";"-";"-"
"Rio de Janeiro";"2012";"Cevada (em grão)";"-";"-"
"Rio de Janeiro";"2012";"Chá-da-índia (folha verde)";"-";"-"
"Rio de Janeiro";"2012";"Coco-da-baía*";"70013";"49303"
"Rio de Janeiro";"2012";"Dendê (cacho de coco)";"-";"-"
"Rio de Janeiro";"2012";"Erva-mate (folha verde)";"-";"-"
"Rio de Janeiro";"2012";"Ervilha (em grão)";"-";"-"
"Rio de Janeiro";"2012";"Fava (em grão)";"-";"-"
"Rio de Janeiro";"2012";"Feijão (em grão)";"3422";"6800"
"Rio de Janeiro";"2012";"Figo";"34";"100"
"Rio de Janeiro";"2012";"Fumo (em folha)";"-";"-"
"Rio de Janeiro";"2012";"Girassol (em grão)";"-";"-"
"Rio de Janeiro";"2012";"Goiaba";"11731";"6186"
"Rio de Janeiro";"2012";"Guaraná (semente)";"-";"-"
"Rio de Janeiro";"2012";"Juta (fibra)";"-";"-"
"Rio de Janeiro";"2012";"Laranja";"54713";"40171"
"Rio de Janeiro";"2012";"Limão";"18554";"11346"
"Rio de Janeiro";"2012";"Linho (semente)";"-";"-"
"Rio de Janeiro";"2012";"Maçã";"-";"-"
"Rio de Janeiro";"2012";"Malva (fibra)";"-";"-"
"Rio de Janeiro";"2012";"Mamão";"570";"353"
"Rio de Janeiro";"2012";"Mamona (baga)";"-";"-"
"Rio de Janeiro";"2012";"Mandioca";"324449";"129467"
"Rio de Janeiro";"2012";"Manga";"6508";"4396"
"Rio de Janeiro";"2012";"Maracujá";"11541";"9096"
"Rio de Janeiro";"2012";"Marmelo";"-";"-"
"Rio de Janeiro";"2012";"Melancia";"5700";"2958"
"Rio de Janeiro";"2012";"Melão";"130";"80"
"Rio de Janeiro";"2012";"Milho (em grão)";"15009";"8346"
"Rio de Janeiro";"2012";"Noz (fruto seco)";"-";"-"
"Rio de Janeiro";"2012";"Palmito";"922";"3995"
